0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
72.6571428571,76.3714285714,99.9428571429,118.457142857,129.514285714,145.885714286,167.2,179.2,177.2,178.057142857,176.0,159.771428571,134.057142857,114.228571429,112.2,110.4,111.457142857,111.485714286,113.342857143,108.414285714,1.0
80.0571428571,73.7714285714,81.3428571429,97.6,110.228571429,118.542857143,142.028571429,168.885714286,182.371428571,181.571428571,170.971428571,146.228571429,114.2,89.3142857143,74.9428571429,71.9142857143,72.1714285714,68.4285714286,66.7142857143,68.0714285714,1.0
86.3857142857,86.4571428571,79.3142857143,97.1142857143,136.771428571,172.4,180.571428571,179.171428571,183.685714286,170.657142857,140.914285714,111.885714286,96.8857142857,84.0571428571,76.4571428571,75.0857142857,73.8,70.8857142857,72.7428571429,78.8142857143,1.0
85.4285714286,80.2857142857,95.5714285714,109.857142857,132.028571429,146.8,169.742857143,176.485714286,181.771428571,175.885714286,156.428571429,126.142857143,102.257142857,92.1428571429,84.9428571429,83.3714285714,85.0,89.6571428571,91.2285714286,85.9428571429,1.0
74.6571428571,63.3714285714,89.9428571429,118.171428571,134.342857143,131.228571429,150.542857143,173.742857143,186.514285714,187.828571429,160.257142857,117.628571429,83.2,82.6,80.6285714286,81.5428571429,82.9714285714,84.0,82.0,80.0,1.0
80.7285714286,81.0857142857,108.371428571,131.942857143,139.514285714,146.142857143,159.942857143,171.771428571,179.114285714,174.114285714,153.285714286,130.257142857,112.971428571,105.171428571,95.4,94.2571428571,94.3142857143,95.7714285714,97.4857142857,99.1285714286,1.0
86.4,79.4,96.4,123.171428571,145.6,168.828571429,176.285714286,177.742857143,182.142857143,173.285714286,145.457142857,114.285714286,95.9428571429,83.2,74.5714285714,74.4571428571,74.0,74.0,72.0,70.5,1.0
74.2,84.2,111.2,132.028571429,142.571428571,152.971428571,170.542857143,179.685714286,183.342857143,169.457142857,149.428571429,124.2,110.971428571,97.4857142857,91.2571428571,89.0,90.3428571429,90.8,89.8,88.8,1.0
77.0285714286,65.8857142857,87.1714285714,127.257142857,161.285714286,173.857142857,177.057142857,181.0,181.771428571,180.685714286,166.2,143.2,129.2,108.142857143,80.8,64.5714285714,68.3714285714,69.9428571429,67.3714285714,65.6571428571,1.0
86.6285714286,82.4857142857,96.7714285714,114.371428571,124.028571429,134.371428571,153.2,173.628571429,183.457142857,178.4,171.028571429,153.971428571,128.885714286,104.371428571,88.9714285714,84.2571428571,86.8857142857,86.0571428571,82.6285714286,84.8428571429,1.0
72.1142857143,87.5428571429,95.6857142857,113.028571429,131.914285714,145.914285714,157.714285714,171.828571429,182.285714286,173.485714286,148.571428571,120.0,99.7142857143,86.1714285714,80.4285714286,81.5142857143,80.2857142857,77.8285714286,79.1142857143,81.9714285714,1.0
74.2142857143,72.1428571429,95.2857142857,119.885714286,143.342857143,145.714285714,161.114285714,173.885714286,183.942857143,181.028571429,176.171428571,172.2,158.885714286,129.542857143,98.1714285714,91.4571428571,93.9428571429,94.7714285714,91.4857142857,92.6285714286,1.0
84.5571428571,91.7714285714,98.3428571429,121.514285714,141.857142857,156.314285714,162.571428571,172.8,182.6,175.571428571,163.4,132.742857143,101.2,78.3714285714,72.1714285714,74.2571428571,73.9714285714,73.0571428571,70.6285714286,79.3428571429,1.0
80.4285714286,80.2857142857,86.5714285714,98.3714285714,111.771428571,137.314285714,165.428571429,183.914285714,181.485714286,175.085714286,163.142857143,155.857142857,148.228571429,129.6,110.942857143,103.457142857,104.028571429,101.085714286,101.942857143,105.014285714,1.0
83.9571428571,79.1714285714,94.7428571429,109.857142857,141.657142857,162.685714286,178.914285714,178.314285714,181.285714286,178.485714286,166.0,154.742857143,141.914285714,119.371428571,96.2,88.5714285714,93.0571428571,92.3714285714,88.0857142857,89.7285714286,1.0
83.3571428571,87.5714285714,91.1428571429,102.6,130.0,159.714285714,176.114285714,178.971428571,182.028571429,173.742857143,161.6,152.514285714,140.628571429,119.142857143,100.2,98.2857142857,98.4571428571,98.2857142857,97.1428571429,101.714285714,1.0
70.7,73.2,79.2,90.9142857143,98.1714285714,111.657142857,142.0,173.0,185.342857143,175.142857143,156.828571429,137.8,126.085714286,106.971428571,85.7714285714,77.5142857143,82.0,80.8,77.8,77.8,1.0
82.8571428571,76.5714285714,87.1428571429,110.857142857,128.2,151.885714286,167.085714286,176.857142857,178.171428571,178.571428571,175.857142857,151.514285714,126.2,102.142857143,92.8571428571,84.8857142857,84.3142857143,85.2,88.2,92.2,1.0
86.2428571429,82.0285714286,111.457142857,138.6,148.257142857,159.885714286,171.171428571,178.6,184.914285714,184.714285714,168.257142857,145.057142857,118.2,98.7428571429,79.1142857143,72.8,74.1142857143,77.1428571429,79.5714285714,75.8571428571,1.0
71.5428571429,71.8285714286,108.257142857,139.371428571,154.2,162.457142857,172.257142857,178.771428571,181.714285714,179.428571429,175.914285714,158.514285714,138.085714286,122.057142857,119.6,114.914285714,114.514285714,116.4,119.4,121.9,1.0
72.8714285714,80.5142857143,81.2285714286,85.8,100.857142857,118.114285714,145.514285714,170.0,183.228571429,178.657142857,167.8,149.085714286,120.914285714,99.2571428571,87.5714285714,88.0,86.7714285714,87.7714285714,89.4857142857,88.6285714286,1.0
77.3285714286,76.6857142857,94.9714285714,103.8,121.8,151.342857143,177.2,178.571428571,182.4,181.742857143,176.028571429,165.714285714,136.714285714,107.8,87.2857142857,88.9714285714,91.3142857143,92.0285714286,89.3142857143,91.6714285714,1.0
85.4857142857,72.0571428571,93.9142857143,118.771428571,139.742857143,146.857142857,162.914285714,173.228571429,178.485714286,178.885714286,164.4,129.228571429,95.5428571429,78.4571428571,73.7714285714,68.1428571429,68.4285714286,67.5142857143,69.6571428571,68.5857142857,1.0
79.4571428571,85.1714285714,85.7428571429,86.0285714286,93.0571428571,98.5142857143,128.628571429,162.542857143,183.685714286,178.114285714,173.142857143,165.857142857,151.514285714,137.657142857,131.6,131.085714286,132.771428571,130.8,129.8,128.3,1.0
88.6428571429,82.4285714286,97.8571428571,113.2,120.857142857,130.857142857,151.8,170.885714286,182.6,179.542857143,173.857142857,173.457142857,152.914285714,113.657142857,81.9142857143,80.0857142857,83.0571428571,84.6285714286,84.9142857143,76.7714285714,1.0
